Time,Model,Class,Confidence,Snapshot
2025-07-10_19-01-22,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_19-01-22.jpg
2025-07-10_19-01-22,PPE,IFR suit,0.69,snapshots/PPE_IFR suit_2025-07-10_19-01-22.jpg
2025-07-10_19-01-23,PPE,IFR suit,0.75,snapshots/PPE_IFR suit_2025-07-10_19-01-23.jpg
2025-07-10_19-01-23,PPE,IFR suit,0.68,snapshots/PPE_IFR suit_2025-07-10_19-01-23.jpg
2025-07-10_19-01-23,PPE,IFR suit,0.68,snapshots/PPE_IFR suit_2025-07-10_19-01-23.jpg
2025-07-10_19-01-23,PPE,IFR suit,0.66,snapshots/PPE_IFR suit_2025-07-10_19-01-23.jpg
2025-07-10_19-01-24,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_19-01-24.jpg
2025-07-10_19-01-25,PPE,IFR suit,0.6,snapshots/PPE_IFR suit_2025-07-10_19-01-25.jpg
2025-07-10_19-01-25,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_19-01-25.jpg
2025-07-10_19-01-25,PPE,IFR suit,0.64,snapshots/PPE_IFR suit_2025-07-10_19-01-25.jpg
2025-07-10_19-01-25,PPE,IFR suit,0.59,snapshots/PPE_IFR suit_2025-07-10_19-01-25.jpg
2025-07-10_19-01-26,PPE,IFR suit,0.78,snapshots/PPE_IFR suit_2025-07-10_19-01-26.jpg
2025-07-10_19-01-26,PPE,IFR suit,0.7,snapshots/PPE_IFR suit_2025-07-10_19-01-26.jpg
2025-07-10_19-01-26,PPE,IFR suit,0.7,snapshots/PPE_IFR suit_2025-07-10_19-01-26.jpg
2025-07-10_19-01-27,PPE,IFR suit,0.76,snapshots/PPE_IFR suit_2025-07-10_19-01-27.jpg
2025-07-10_19-01-27,PPE,IFR suit,0.69,snapshots/PPE_IFR suit_2025-07-10_19-01-27.jpg
2025-07-10_19-01-27,PPE,IFR suit,0.71,snapshots/PPE_IFR suit_2025-07-10_19-01-27.jpg
2025-07-10_19-01-27,PPE,IFR suit,0.67,snapshots/PPE_IFR suit_2025-07-10_19-01-27.jpg
2025-07-10_19-01-28,PPE,IFR suit,0.82,snapshots/PPE_IFR suit_2025-07-10_19-01-28.jpg
2025-07-10_19-01-28,PPE,IFR suit,0.68,snapshots/PPE_IFR suit_2025-07-10_19-01-28.jpg
2025-07-10_19-01-28,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_19-01-28.jpg
2025-07-10_19-32-46,FireSmoke,smoke,0.63,snapshots/FireSmoke_smoke_2025-07-10_19-32-46.jpg
2025-07-10_19-32-59,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_19-32-59.jpg
2025-07-10_19-32-59,PPE,No Helmet,0.7,snapshots/PPE_No Helmet_2025-07-10_19-32-59.jpg
2025-07-10_19-33-00,FireSmoke,smoke,0.53,snapshots/FireSmoke_smoke_2025-07-10_19-33-00.jpg
2025-07-10_19-33-00,FireSmoke,smoke,0.55,snapshots/FireSmoke_smoke_2025-07-10_19-33-00.jpg
2025-07-10_19-33-01,FireSmoke,smoke,0.55,snapshots/FireSmoke_smoke_2025-07-10_19-33-01.jpg
2025-07-10_19-33-01,FireSmoke,smoke,0.6,snapshots/FireSmoke_smoke_2025-07-10_19-33-01.jpg
2025-07-10_19-33-01,FireSmoke,smoke,0.7,snapshots/FireSmoke_smoke_2025-07-10_19-33-01.jpg
2025-07-10_19-33-01,FireSmoke,smoke,0.52,snapshots/FireSmoke_smoke_2025-07-10_19-33-01.jpg
2025-07-10_19-33-02,FireSmoke,smoke,0.6,snapshots/FireSmoke_smoke_2025-07-10_19-33-02.jpg
2025-07-10_19-33-04,FireSmoke,smoke,0.71,snapshots/FireSmoke_smoke_2025-07-10_19-33-04.jpg
